A,B,C,D,E1,E2,E3,F1,F2,F3,F4,G11,G12,G13,G14,G21,G22,G23,G24,G25,G26,G31,G32,G33,G34,G35,H,I,J
3.32,0.33,E,A,3276,29.73,12.9254275,L,0.5416,0.749,2.8,0,0,0,0,0.773668801283362,0.773668801283362,2.5,1191.3,15,29,,0.5,,,,A13,C,2.12179171093794
2.62,0.36,E,A,3276,31.83,13.10779525,L,0.5389,0.864,2.75,0,0,0,0,0.762904806588278,0.762904806588278,2.5,1191.3,15,29,,0.5,,,,A13,C,1.67493072013428
3.22,0.58,E,A,3276,38.33,13.356365,L,0.5362,0.979,2.69,0,0,0,0,0.748706702759321,0.748706702759321,2.5,1191.3,15,29,,0.5,,,,A13,C,2.06216342263701
3.61,0.22,E,A,3276,44.84,13.583495,L,0.5335,1.094,2.64,0,0,0,0,0.73618755703153,0.73618755703153,2.5,1191.3,15,29,,0.5,,,,A13,C,2.31185668591365
1.84,0.27,E,A,3276,52.41,13.7355105,L,0.5308,1.209,2.58,0,0,0,0,0.728039922505975,0.728039922505975,2.5,1191.3,15,29,,0.5,,,,A13,C,1.17672312665604
2.27,0.18,E,A,3276,55.28,13.898164,L,0.5281,1.324,2.53,0,0,0,0,0.71951949912233,0.71951949912233,2.5,1191.3,15,29,,0.5,,,,A13,C,1.45363628615655
2.07,0.19,E,A,3276,67.98,14.074865,L,0.5254,1.439,2.48,0,0,0,0,0.710486388324151,0.710486388324151,2.5,1191.3,15,29,,0.5,,,,A13,C,1.32337069660821
2.15,0.52,E,A,3276,72.5,14.296235,L,0.5227,1.554,2.42,0,0,0,0,0.699484864371633,0.699484864371633,2.5,1191.3,15,29,,0.5,,,,A13,C,1.37316796159382
0.62,0.4,E,A,3276,68.83,14.5081715,L,0.52,1.669,2.37,0,0,0,0,0.689266734956917,0.689266734956917,2.5,1191.3,15,29,,0.5,,,,A13,C,0.397358759628901
2.37,0.3,E,A,3276,51.28,14.644509,L,0.5259,1.784,2.31,0,0,0,0,0.682849797149225,0.682849797149225,2.5,1191.3,15,29,,0.5,,,,A13,C,1.51481950581115
2.32,0.4,E,A,3276,46.83,14.864185,L,0.5318,1.899,2.26,0,0,0,0,0.672758042233732,0.672758042233732,2.61007662722764,1191.3,15,29,,0.5,,,,A13,C,1.48361335413767
1.67,0.32,E,A,3276,44.78,15.0170325,L,0.5377,2.014,2.21,0,0,0,0,0.665910525265228,0.665910525265228,2.91547594742265,1191.3,15,29,,0.5,,,,A13,C,1.07115753647349
0.74,0.41,E,A,3276,42.51,15.211261,L,0.5436,2.129,2.15,0,0,0,0,0.657407692892785,0.657407692892785,3.36340601176843,1191.3,15,29,,0.5,,,,A13,C,0.471441195410875
1.28,0.37,E,A,3276,24.57,15.441905,L,0.5495,2.244,2.1,0,0,0,0,0.64758849377716,0.64758849377716,3.90512483795333,1191.3,15,29,,0.5,,,,A13,C,0.816015920096334
0.94,0.28,E,A,3276,24.61,15.66898,L,0.5554,2.359,2.04,0,0,0,0,0.638203635463189,0.638203635463189,4.50693909432999,1191.3,15,29,,0.5,,,,A13,C,0.604271710963076
0.83,0.21,E,A,3276,27.02,15.85064,L,0.5613,2.474,1.99,0,0,0,0,0.630889352101871,0.630889352101871,5.1478150704935,1191.3,15,29,,0.5,,,,A13,C,0.533935885343908
1.06,0.38,E,A,3276,22.99,16.1792725,L,0.5675,2.593,1.94,0,0,0,0,0.618074762014176,0.618074762014176,6.5,1191.3,15,29,,0.5,,,,A13,C,0.676343934675288
